,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Hambantota,LK,6.1241,81.1185,80.22,78,90,16.04,overcast clouds
243,Kudahuvadhoo,MV,2.6708,72.8944,83.26,71,100,7.74,overcast clouds
244,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,20.71,scattered clouds
245,Alofi,NU,-19.0595,-169.9187,82.29,74,6,12.66,clear sky
246,Kautokeino,NO,69.0125,23.0412,48.33,75,84,3.74,broken clouds
247,Alice Springs,AU,-23.7,133.8833,49.55,71,0,0.0,clear sky
248,Bafra,TR,41.5678,35.9069,69.82,84,100,5.97,overcast clouds
249,Ila,NO,63.4305,10.3705,51.82,95,80,1.36,broken clouds
250,San Cristobal,VE,7.7669,-72.225,71.78,99,99,4.07,overcast clouds
251,Ganzhou,CN,28.8184,115.4327,69.28,96,100,1.9,overcast clouds
252,Oum Hadjer,TD,13.2954,19.6966,86.13,41,100,21.23,overcast clouds
253,Lompoc,US,34.6391,-120.4579,86.02,70,75,15.99,broken clouds
254,Caravelas,BR,-17.7125,-39.2481,72.5,90,97,4.65,overcast clouds
255,Ketchikan,US,55.3422,-131.6461,55.87,62,100,11.5,overcast clouds
256,Hualmay,PE,-11.0964,-77.6139,63.95,78,27,11.81,scattered clouds
257,New Norfolk,AU,-42.7826,147.0587,46.92,81,66,1.01,broken clouds
258,Hasaki,JP,35.7333,140.8333,72.28,55,95,9.71,overcast clouds
259,Kruisfontein,ZA,-34.0033,24.7314,64.81,44,100,3.91,overcast clouds
260,Mnogovershinnyy,RU,53.9353,139.9242,68.34,53,9,2.86,clear sky
261,Yulara,AU,-25.2406,130.9889,54.25,49,0,5.39,clear sky
262,Tarauaca,BR,-8.1614,-70.7656,66.02,81,51,1.36,broken clouds
263,Kerema,PG,-7.9631,145.7785,81.68,78,78,3.62,broken clouds
264,Waipawa,NZ,-41.4122,175.5153,50.29,67,10,29.91,clear sky
265,Matara,LK,5.9485,80.5353,78.51,85,93,12.62,light rain
266,Cooma,AU,-36.2333,149.1333,41.45,66,7,1.41,clear sky
267,Kadaya,RU,50.9327,119.2911,59.38,83,100,4.54,light rain
268,Jiuquan,CN,39.7432,98.5174,74.08,9,0,6.93,clear sky
269,Nouadhibou,MR,20.931,-17.0347,67.98,88,0,20.71,clear sky
270,Manokwari,ID,-0.8667,134.0833,83.17,68,64,8.08,broken clouds
271,Wahpeton,US,46.2652,-96.6059,86.02,32,0,10.36,clear sky
272,Olinda,BR,-8.0089,-34.8553,78.53,83,40,6.91,scattered clouds
273,La Palma,US,33.8464,-118.0467,91.65,67,0,12.66,clear sky
274,Kattivakkam,IN,13.2167,80.3167,83.07,79,86,10.31,overcast clouds
275,Leningradskiy,RU,69.3833,178.4167,36.03,80,100,11.01,overcast clouds
276,Dancheng,CN,33.6333,115.1833,78.94,57,68,6.96,broken clouds
277,Waingapu,ID,-9.6567,120.2641,78.82,70,77,11.83,broken clouds
278,Bandarbeyla,SO,9.4942,50.8122,80.65,70,90,27.47,overcast clouds
279,Samarai,PG,-10.6167,150.6667,82.83,73,28,9.8,scattered clouds
280,Cabo San Lucas,MX,22.8909,-109.9124,101.5,36,0,19.57,clear sky
281,Dingle,PH,10.9995,122.6711,82.78,78,74,3.31,broken clouds
282,Key West,US,24.5557,-81.7826,89.6,67,20,5.75,few clouds
283,Alamos,MX,27.0167,-108.9333,94.41,32,1,9.86,clear sky
284,Fukue,JP,32.6881,128.8419,68.36,94,75,6.91,light intensity shower rain
285,Steamboat Springs,US,40.485,-106.8317,85.59,20,0,10.36,clear sky
286,Ojinaga,MX,29.5667,-104.4167,106.75,18,0,8.05,clear sky
287,Cardston,CA,49.2,-113.3019,67.77,34,84,1.72,broken clouds
288,Veselynove,UA,47.3567,31.2349,65.98,77,0,7.92,clear sky
289,Cabedelo,BR,-6.9811,-34.8339,75.87,81,8,8.84,clear sky
290,Geraldton,AU,-28.7667,114.6,59.41,82,40,3.44,scattered clouds
291,Muzhi,RU,65.3667,64.6667,44.65,65,100,14.34,overcast clouds
292,Muisne,EC,0.6,-80.0333,75.76,84,83,7.23,broken clouds
293,Brezice,SI,45.9033,15.5911,60.71,93,0,2.3,clear sky
294,Eyl,SO,7.9803,49.8164,81.19,64,87,24.45,overcast clouds
295,Korla,CN,41.7597,86.1469,82.04,13,16,9.28,few clouds
296,Lata,PT,40.1629,-8.3327,67.08,75,1,1.72,clear sky
297,Thunder Bay,CA,48.4001,-89.3168,56.41,64,94,4.03,overcast clouds
298,Narsaq,GL,60.9167,-46.05,44.82,92,99,2.93,overcast clouds
299,Poum,NC,-20.2333,164.0167,75.88,78,100,10.25,overcast clouds
300,Teya,RU,60.3778,92.6267,62.6,81,87,2.89,overcast clouds
301,Faya,SA,18.3851,42.4509,66.72,20,2,1.83,clear sky
302,Maracacume,BR,-2.0428,-45.9592,72.7,97,48,3.44,scattered clouds
303,Shenjiamen,CN,29.9576,122.298,69.35,96,100,1.52,light rain
304,Adeje,ES,28.1227,-16.726,72.01,82,75,5.75,broken clouds
305,Ayagoz,KZ,47.9714,80.4392,66.87,54,97,6.13,overcast clouds
306,Arawa,PG,-6.2132,155.5367,85.98,65,60,4.99,broken clouds
307,Nanortalik,GL,60.1432,-45.2371,37.24,93,100,11.52,overcast clouds
308,Saint-Georges,GD,12.0564,-61.7485,82.08,74,20,16.11,few clouds
309,Fort Nelson,CA,58.8053,-122.7002,65.79,24,40,5.75,scattered clouds
310,Provideniya,RU,64.3833,-173.3,41.05,61,93,2.17,overcast clouds
311,Paciran,ID,-6.8767,112.3761,79.25,85,96,5.7,overcast clouds
312,Cockburn Town,TC,21.4612,-71.1419,82.36,74,40,16.11,scattered clouds
313,Urumqi,CN,43.801,87.6005,81.55,24,0,8.95,clear sky
314,Berlevag,NO,70.8578,29.0864,44.4,81,75,26.46,broken clouds
315,San Quintin,MX,30.4833,-115.95,71.13,71,1,12.97,clear sky
316,Iisalmi,FI,63.5592,27.1907,47.46,95,30,4.09,scattered clouds
317,Namatanai,PG,-3.6667,152.4333,83.84,67,52,8.97,light rain
318,Ancud,CL,-41.8697,-73.8203,51.22,85,100,15.21,light rain
319,Palmer,US,42.1584,-72.3287,70.21,75,100,9.22,overcast clouds
320,Salalah,OM,17.0151,54.0924,86.09,79,75,6.91,broken clouds
