,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Port Blair,IN,11.6667,92.75,77.04,94,75,0.0,mist
349,Jiaojiang,CN,28.6803,121.4428,70.0,96,100,2.21,overcast clouds
350,Kita,ML,13.0349,-9.4895,91.0,36,86,5.12,overcast clouds
351,Bouna,CI,9.2667,-3.0,72.93,90,58,4.16,broken clouds
352,Ribeira Brava,PT,32.65,-17.0667,69.71,84,5,2.28,clear sky
353,Kolyubakino,RU,55.668,36.5323,59.29,85,15,3.71,few clouds
354,Talara,PE,-4.5772,-81.2719,63.68,87,84,18.23,broken clouds
355,Asau,RO,46.4333,26.4,63.52,93,54,5.5,broken clouds
356,Astana,KZ,51.1801,71.446,57.15,72,0,8.95,clear sky
357,Manta,EC,-0.95,-80.7333,74.98,83,100,6.91,overcast clouds
358,Rudnichnyy,RU,59.617,52.4703,39.25,76,5,5.12,clear sky
359,Mount Gambier,AU,-37.8333,140.7667,53.85,71,97,0.74,overcast clouds
360,College,US,64.8569,-147.8028,68.09,44,100,3.44,smoke
361,Micheweni,TZ,-4.9667,39.8333,76.75,78,55,12.08,broken clouds
362,San Patricio,US,28.017,-97.5169,92.17,57,42,20.4,scattered clouds
363,Bheramara,BD,24.0232,88.9925,82.38,86,89,11.77,overcast clouds
364,Opuwo,NA,-18.0607,13.84,54.61,55,0,2.53,clear sky
365,Hervey Bay,AU,-25.2986,152.8535,59.02,64,22,13.0,few clouds
366,Itarema,BR,-2.9248,-39.9167,76.68,83,39,8.79,scattered clouds
367,Abu Samrah,SY,35.3029,37.1841,67.73,74,0,16.46,clear sky
368,Tevriz,RU,57.509,72.4042,53.17,99,74,6.06,broken clouds
369,Tomatlan,MX,19.9333,-105.25,88.16,55,24,8.79,few clouds
370,Georgetown,MY,5.4112,100.3354,78.73,89,20,0.0,few clouds
371,Tucuman,AR,-26.8241,-65.2226,53.6,87,0,8.05,clear sky
372,Kushima,JP,31.4583,131.2333,69.17,92,100,9.71,heavy intensity rain
373,Passa Quatro,BR,-22.3903,-44.9667,51.85,71,100,1.45,overcast clouds
374,Santa Rosa,PH,14.3122,121.1114,89.58,75,100,4.79,overcast clouds
375,Padang,ID,-0.9492,100.3543,73.45,78,95,2.06,overcast clouds
376,La Paz,BO,-16.5,-68.15,35.58,43,0,6.91,clear sky
377,Storforshei,NO,66.4043,14.5233,50.67,93,100,3.44,overcast clouds
378,Izumo,JP,35.3667,132.7667,69.69,68,0,27.63,clear sky
379,Rohri,PK,27.6922,68.8951,85.87,66,27,4.61,haze
380,Chifeng,CN,42.2683,118.9636,68.29,49,89,10.2,overcast clouds
381,Ballyshannon,IE,54.5,-8.1833,52.02,90,97,14.03,overcast clouds
382,Nemuro,JP,43.3236,145.575,46.36,95,100,18.97,light rain
383,Awbari,LY,26.5921,12.7805,79.16,25,0,6.87,clear sky
384,Shaowu,CN,27.3409,117.4831,72.72,99,100,3.06,overcast clouds
385,Luganville,VU,-15.5333,167.1667,83.28,67,86,5.01,overcast clouds
386,Tual,ID,-5.6667,132.75,82.92,74,100,12.21,overcast clouds
387,Bodden Town,KY,19.2833,-81.25,84.2,79,20,10.36,few clouds
388,Lashio,MM,22.9333,97.75,69.04,98,100,0.31,overcast clouds
389,Port Lincoln,AU,-34.7333,135.8667,53.94,74,98,11.61,overcast clouds
390,San Benito,US,36.6166,-121.0844,73.83,58,5,15.23,clear sky
391,Vilcun,CL,-38.65,-72.2333,39.94,92,100,2.57,overcast clouds
392,Torbay,CA,47.6666,-52.7314,56.88,82,40,9.22,scattered clouds
393,Polunochnoye,RU,60.8697,60.4153,51.57,74,84,7.27,broken clouds
394,Roma,US,43.2128,-75.4557,67.73,94,100,6.91,overcast clouds
395,Sao Goncalo Dos Campos,BR,-12.4333,-38.9667,68.34,95,15,4.18,few clouds
396,Abis,PH,9.7173,122.9438,82.33,75,87,2.42,overcast clouds
397,Sambava,MG,-14.2667,50.1667,68.95,82,2,9.93,clear sky
398,Kokopo,PG,-4.352,152.2633,82.27,68,14,2.62,few clouds
399,Zhob,PK,31.3411,69.4481,74.05,49,1,1.92,clear sky
400,Walvis Bay,NA,-22.9575,14.5053,61.09,62,0,3.44,clear sky
401,Balagansk,RU,54.0103,103.0544,62.85,54,100,3.47,overcast clouds
402,Lebu,CL,-37.6167,-73.65,48.16,91,100,8.77,overcast clouds
403,Kahului,US,20.8947,-156.47,84.22,71,20,28.77,few clouds
404,Muros,ES,42.7762,-9.0603,68.16,73,49,14.65,scattered clouds
405,Gbarnga,LR,6.9956,-9.4722,70.74,99,81,1.23,broken clouds
406,Nehe,CN,48.4833,124.8333,64.29,88,100,13.27,moderate rain
407,Mogadishu,SO,2.0371,45.3438,78.48,82,85,19.93,light rain
408,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,92,100,11.5,overcast clouds
409,Belem De Sao Francisco,BR,-8.7539,-38.9658,76.5,73,18,10.67,few clouds
410,Jalu,LY,29.0331,21.5482,72.77,59,0,11.21,clear sky
411,Altay,CN,47.8667,88.1167,75.04,41,20,5.93,few clouds
412,Nerchinskiy Zavod,RU,51.3088,119.61,58.37,83,100,3.18,light rain
413,Jadu,LY,31.953,12.0261,62.1,59,0,2.08,clear sky
414,Rio Gallegos,AR,-51.6226,-69.2181,41.05,87,0,2.3,clear sky
415,Sovetskiy,RU,61.3614,63.5842,49.12,74,100,11.43,overcast clouds
416,Sidi Ali,DZ,36.0998,0.4206,77.16,37,59,8.86,broken clouds
417,Antsohihy,MG,-14.8796,47.9875,70.3,62,7,10.13,clear sky
418,Teguldet,RU,57.3064,88.1667,64.6,70,22,7.18,few clouds
419,Mollendo,PE,-17.0231,-72.0147,60.91,84,12,4.85,few clouds
420,Eyemouth,GB,55.8713,-2.0901,48.24,81,7,17.6,clear sky
421,Victoria,HK,22.2855,114.1577,84.38,85,100,15.99,overcast clouds
422,Brae,GB,60.3964,-1.353,50.23,94,100,19.86,overcast clouds
423,Pokrovsk,UA,48.282,37.1758,60.4,94,80,9.4,broken clouds
424,Amapa,BR,1.0,-52.0,71.56,99,22,1.14,few clouds
425,Jacareacanga,BR,-6.2222,-57.7528,72.64,97,100,2.24,overcast clouds
426,Uruana,BR,-15.4981,-49.6875,66.76,64,88,3.89,overcast clouds
427,Ankpa,NG,7.3706,7.6253,72.7,90,92,2.8,overcast clouds
428,Yar-Sale,RU,66.8333,70.8333,43.57,79,100,23.8,overcast clouds
429,Chicama,PE,-7.8447,-79.1469,59.54,82,26,7.56,scattered clouds
430,Aransas Pass,US,27.9095,-97.15,87.89,82,0,23.02,clear sky
431,Thessalon,CA,46.2501,-83.5666,62.89,68,22,12.26,few clouds
432,Sechura,PE,-5.5569,-80.8222,66.38,73,20,16.71,few clouds
433,Jinchang,CN,38.4953,102.1739,70.34,12,0,6.96,clear sky
434,Carthage,TN,36.8611,10.3316,71.13,53,20,6.91,few clouds
435,Salima,MW,-13.7804,34.4587,61.57,73,0,5.68,clear sky
436,Arandis,NA,-22.4167,14.9667,60.48,43,0,4.76,clear sky
437,Cayenne,GF,4.9333,-52.3333,82.09,1,0,0.0,clear sky
438,Lazaro Cardenas,MX,17.9583,-102.2,85.1,65,7,7.43,clear sky
439,Kyrksaeterora,NO,63.2906,9.0891,47.95,92,56,0.72,light rain
440,Mbanza-Ngungu,CD,-5.25,14.8667,64.74,73,8,4.72,clear sky
441,Griffith,US,41.5284,-87.4237,70.09,84,100,10.36,overcast clouds
442,Smidovich,RU,48.6,133.8167,66.27,68,99,6.71,overcast clouds
443,Merauke,ID,-8.4667,140.3333,81.63,78,96,14.32,overcast clouds
444,Oistins,BB,13.0667,-59.5333,82.49,78,40,20.71,scattered clouds
445,Lipin Bor,RU,60.2622,37.9763,51.51,66,92,7.56,overcast clouds
446,Te Anau,NZ,-45.4167,167.7167,36.93,99,98,1.39,overcast clouds
447,Nuuk,GL,64.1835,-51.7216,34.18,77,100,16.84,overcast clouds
448,Windhoek,NA,-22.5594,17.0832,50.2,53,0,4.61,clear sky
449,Krasnoselkup,RU,65.7,82.4667,64.76,68,51,8.59,broken clouds
450,Antofagasta,CL,-23.65,-70.4,56.48,82,36,5.12,scattered clouds
451,Rio Grande,BR,-32.035,-52.0986,51.91,88,7,10.47,clear sky
452,Loralai,PK,30.3705,68.598,74.3,50,29,4.36,scattered clouds
453,Buin,CL,-33.7333,-70.75,60.73,52,6,1.25,clear sky
454,Weligama,LK,5.9667,80.4167,78.87,85,96,13.27,light rain
455,Nelson Bay,AU,-32.7167,152.15,57.11,64,2,3.0,clear sky
456,Nouakchott,MR,18.0858,-15.9785,75.13,81,7,12.24,clear sky
457,Cascais,PT,38.6979,-9.4215,72.75,65,5,8.99,clear sky
458,Ngama,TD,11.7833,17.1667,79.32,65,100,23.06,light rain
459,Rawson,AR,-43.3002,-65.1023,57.61,28,100,9.15,overcast clouds
460,Puerto Leguizamo,CO,-0.1934,-74.7819,66.09,99,99,2.62,overcast clouds
461,Kutahya,TR,39.4242,29.9833,57.38,90,65,6.06,broken clouds
462,Lesozavodsk,RU,45.4794,133.4244,66.52,68,86,6.78,overcast clouds
463,Grindavik,IS,63.8424,-22.4338,48.15,93,100,12.66,overcast clouds
464,The Valley,AI,18.217,-63.0578,82.26,82,49,17.9,scattered clouds
465,Tete,MZ,-16.1564,33.5867,60.73,89,0,1.72,clear sky
466,Izhevskoye,RU,54.5567,40.8703,50.16,89,2,6.2,clear sky
467,Vohibinany,MG,-17.35,49.0333,59.25,95,18,3.22,few clouds
468,Le Marin,MQ,14.4721,-60.8697,82.31,74,20,10.36,few clouds
469,Kaka,TM,37.3482,59.6143,75.6,44,0,4.45,clear sky
470,Cam Ranh,VN,11.9214,109.1591,84.16,65,20,1.14,few clouds
471,Macau,MO,22.2006,113.5461,84.85,84,40,10.36,scattered clouds
472,Hvide Sande,DK,56.0045,8.1294,52.09,74,80,19.19,broken clouds
473,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,51.8,45,95,6.31,overcast clouds
474,Yushan,CN,31.3776,120.9543,71.98,88,100,4.18,light rain
475,Karratha,AU,-20.7377,116.8463,73.71,57,43,9.86,scattered clouds
476,Bilma,NE,18.6853,12.9164,91.81,11,20,8.79,few clouds
477,Puerto Madero,MX,14.7208,-92.4215,79.0,100,100,0.0,overcast clouds
478,Ostersund,SE,63.1792,14.6357,50.61,100,20,14.97,few clouds
479,Scarborough,GB,54.2797,-0.4044,49.15,85,6,3.0,clear sky
480,Moussoro,TD,13.6408,16.4901,89.87,36,80,11.25,broken clouds
481,Maceio,BR,-9.6658,-35.7353,72.84,94,20,3.44,few clouds
482,Srednekolymsk,RU,67.45,153.6833,66.78,29,9,4.21,clear sky
483,Vidim,RU,56.4088,103.1106,61.74,77,100,5.39,overcast clouds
484,Bom Jardim,BR,-7.7958,-35.5872,68.31,97,27,2.33,scattered clouds
485,Kuminskiy,RU,58.6667,66.5667,52.14,97,100,7.9,overcast clouds
486,Charagua,BO,-19.8,-63.2167,50.92,41,0,2.19,clear sky
487,Young,UY,-32.6833,-57.6333,45.72,72,0,2.19,clear sky
488,Rocha,UY,-34.4833,-54.3333,43.9,93,0,5.59,clear sky
489,Hofn,IS,64.2539,-15.2082,49.24,94,93,8.61,overcast clouds
490,Atbasar,KZ,51.8,68.3333,61.34,62,87,6.2,overcast clouds
491,Margate,GB,51.3813,1.3862,59.7,63,83,5.99,broken clouds
492,Shenkursk,RU,62.1091,42.896,48.58,69,56,6.02,broken clouds
493,Jinka,ET,5.65,36.65,63.09,69,57,3.76,broken clouds
494,Southbridge,US,42.0751,-72.0334,70.27,89,88,5.84,overcast clouds
495,Mitsamiouli,KM,-11.3847,43.2844,76.77,69,32,5.1,scattered clouds
496,Basoko,CD,1.2391,23.616,71.11,85,100,1.45,overcast clouds
497,Am Timan,TD,11.0297,20.2827,74.08,79,100,7.34,light rain
498,Marawi,PH,7.9986,124.2928,75.54,80,87,0.87,overcast clouds
499,Maymyo,MM,22.0333,96.4667,68.07,90,90,2.01,overcast clouds
500,Urdoma,RU,61.7533,48.5442,43.68,71,19,0.4,few clouds
501,Abeche,TD,13.8292,20.8324,81.19,52,100,11.05,overcast clouds
502,Marystown,CA,47.1666,-55.1483,51.4,90,71,7.43,broken clouds
503,Verkh-Usugli,RU,52.7,115.1667,62.42,52,56,5.99,broken clouds
504,Blaj,RO,46.1833,23.9167,60.96,88,7,0.58,clear sky
505,Hendaye,FR,43.3717,-1.7738,67.95,90,40,6.91,scattered clouds
506,Marsaxlokk,MT,35.8419,14.5431,70.41,83,20,8.05,few clouds
507,Aasiaat,GL,68.7098,-52.8699,33.62,83,100,9.91,overcast clouds
508,Egvekinot,RU,66.3167,-179.1667,44.51,41,100,1.25,overcast clouds
509,Noumea,NC,-22.2763,166.4572,75.18,99,100,6.98,overcast clouds
510,Pareora,NZ,-44.4871,171.2132,48.18,90,91,7.18,overcast clouds
511,Soyaniquilpan,MX,19.9833,-99.5,58.5,68,51,4.27,broken clouds
512,Turangi,NZ,-39.0,175.9333,42.51,93,93,13.22,overcast clouds
513,Ozuluama,MX,21.6667,-97.85,85.14,62,1,18.5,clear sky
514,Afogados Da Ingazeira,BR,-7.7508,-37.6392,72.84,73,91,4.99,overcast clouds
515,Paka,MY,4.6374,103.4368,76.93,94,20,0.0,few clouds
516,Pangnirtung,CA,66.1451,-65.7125,31.75,91,90,0.81,overcast clouds
517,Forecariah,GN,9.4306,-13.0881,76.78,91,97,2.93,light rain
518,Sola,VU,-13.8833,167.55,83.07,79,75,0.0,broken clouds
519,Laguna,US,38.421,-121.4238,84.76,54,0,20.71,clear sky
520,Kysyl-Syr,RU,63.8986,122.7617,54.43,75,88,8.32,overcast clouds
521,Kabalo,CD,-6.05,26.9167,71.64,60,39,4.68,scattered clouds
522,Sobolevo,RU,54.4299,31.8996,55.42,94,7,6.17,clear sky
523,Quatre Cocos,MU,-20.2078,57.7625,71.71,77,86,16.53,overcast clouds
524,Sioux Lookout,CA,50.1001,-91.917,64.47,55,75,4.61,broken clouds
525,Dieppe,FR,49.75,1.1667,54.19,93,16,6.38,few clouds
526,Tigil,RU,57.8,158.6667,43.48,94,100,8.84,moderate rain
527,Bafoulabe,ML,13.8065,-10.8321,89.06,46,84,7.11,light rain
528,Nsanje,MW,-16.92,35.262,62.19,96,4,1.41,clear sky
529,Kieta,PG,-6.2167,155.6333,84.65,68,26,5.37,light rain
530,Ust-Uda,RU,54.1742,103.0304,58.57,76,100,5.12,light rain
531,Hastings,GB,50.8552,0.5729,59.32,71,24,11.9,few clouds
532,Tall Kayf,TR,37.0833,41.0667,72.07,53,3,8.05,clear sky
533,Soyo,AO,-6.1349,12.3689,73.45,91,56,4.83,broken clouds
534,Ulaangom,MN,49.9811,92.0667,75.51,32,34,0.65,scattered clouds
535,Prescott,US,34.54,-112.4685,94.95,14,0,24.16,clear sky
536,Dunedin,NZ,-45.8742,170.5036,47.8,60,47,15.01,scattered clouds
537,Axim,GH,4.8699,-2.2405,76.68,80,90,5.95,overcast clouds
538,Togur,RU,58.3631,82.8265,60.39,91,14,7.81,few clouds
539,Culpeper,US,38.5004,-77.9664,78.76,80,40,1.01,scattered clouds
540,Kindu,CD,-2.95,25.95,69.6,85,89,2.01,light rain
541,Mount Isa,AU,-20.7333,139.5,60.57,39,0,10.36,clear sky
542,San Andres,CO,12.5847,-81.7006,82.42,83,75,6.91,broken clouds
543,Umm Kaddadah,SD,13.6017,26.6876,86.76,37,99,8.72,overcast clouds
544,Kawardha,IN,22.0167,81.25,83.97,52,41,6.8,scattered clouds
545,Coruripe,BR,-10.1256,-36.1756,75.07,85,17,4.61,few clouds
546,Anadyr,RU,64.75,177.4833,57.7,44,0,8.95,clear sky
547,Horodnytsya,UA,50.807,27.3168,56.75,93,1,4.76,clear sky
548,Godeanu,RO,44.8005,22.6079,56.14,96,61,4.68,broken clouds
549,Burnie,AU,-41.0667,145.9167,48.45,65,4,5.21,clear sky
550,Madinat Sittah Uktubar,EG,29.8167,31.05,74.8,64,0,9.19,clear sky
551,Vardo,NO,70.3705,31.1107,44.58,70,68,11.5,broken clouds
552,Ust-Kuyga,RU,70.0167,135.6,69.17,30,26,8.57,scattered clouds
553,Gerstetten,DE,48.6333,10.0333,63.25,86,58,5.66,moderate rain
554,Pirenopolis,BR,-15.8525,-48.9592,66.69,71,96,5.35,overcast clouds
555,Oriximina,BR,-1.7656,-55.8661,75.13,92,49,1.3,scattered clouds
556,Coolum Beach,AU,-26.5333,153.1,66.34,69,67,5.79,broken clouds
557,Wad Madani,SD,14.4012,33.5199,90.34,38,27,12.35,scattered clouds
558,Baniachang,BD,24.5167,91.3667,76.73,94,99,5.97,moderate rain
559,Jertih,MY,5.7336,102.4897,75.78,91,99,3.02,overcast clouds
560,Bambari,CF,5.768,20.6757,69.78,97,100,3.74,light rain
561,Sept-Iles,CA,50.2001,-66.3821,59.52,77,75,2.3,broken clouds
562,Simao Dias,BR,-10.7383,-37.8111,70.0,98,9,4.7,clear sky
563,Alekseyevsk,RU,57.8406,108.3492,66.29,41,100,2.93,overcast clouds
564,Puerto Escondido,MX,15.85,-97.0667,82.09,74,99,4.52,overcast clouds
565,Camocim,BR,-2.9022,-40.8411,76.66,87,60,8.55,broken clouds
566,Adrar,MR,20.5022,-10.0711,91.17,21,16,13.94,few clouds
567,Kapit,MY,2.0167,112.9333,74.32,99,100,1.07,moderate rain
568,Luderitz,NA,-26.6481,15.1594,59.31,60,22,5.73,few clouds
569,Bhatkal,IN,13.9667,74.5667,77.9,87,100,5.48,overcast clouds
570,Garissa,KE,-0.4536,39.6401,74.07,77,36,15.88,scattered clouds
571,Juiz De Fora,BR,-21.7642,-43.3503,58.01,95,100,4.99,overcast clouds
572,Ulladulla,AU,-35.35,150.4667,46.76,57,3,2.39,clear sky
573,Gombe,NG,10.2897,11.1673,77.63,70,88,11.14,overcast clouds
574,Bobrovytsya,UA,50.75,31.3833,59.34,92,3,6.73,clear sky
575,Vieksniai,LT,56.2333,22.5167,48.0,93,94,6.73,overcast clouds
576,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.92,83,89,11.1,overcast clouds
577,Paamiut,GL,61.994,-49.6678,35.26,77,97,25.34,overcast clouds
578,Channel-Port Aux Basques,CA,47.5702,-59.1367,54.55,77,61,9.42,broken clouds
579,Maragogi,BR,-9.0122,-35.2225,76.24,85,5,4.41,clear sky
580,Promyshlennyy,RU,67.5833,63.9167,37.9,67,6,16.84,clear sky
581,Woodward,US,36.4337,-99.3904,101.43,27,0,16.11,clear sky
582,Wittlich,DE,49.9833,6.8833,59.36,67,0,4.61,clear sky
583,Leh,IN,34.1667,77.5833,49.41,62,80,4.12,broken clouds
584,Komsomolskiy,UZ,40.4272,71.7189,68.72,64,24,4.61,few clouds
585,Mezen,RU,65.8522,44.24,54.43,64,100,9.73,overcast clouds
586,Hue,VN,16.4667,107.6,84.31,74,20,3.44,few clouds
587,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.24,98,93,3.0,overcast clouds
588,Keti Bandar,PK,24.1447,67.4497,83.14,79,8,6.78,clear sky
589,Smoky Lake,CA,54.1169,-112.4686,70.38,49,75,4.61,broken clouds
590,Bukachacha,RU,52.9833,116.9167,60.76,75,100,3.67,overcast clouds
591,Barabai,ID,-2.5833,115.3833,75.6,95,100,0.67,overcast clouds
592,Kimberley,ZA,-28.7323,24.7623,46.09,61,96,9.22,overcast clouds
593,Flinders,AU,-34.5833,150.8552,57.06,63,2,4.0,clear sky
594,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,88,75,18.16,broken clouds
595,Langsa,ID,4.4683,97.9683,73.36,92,97,2.01,overcast clouds
596,Paine,CL,-33.8167,-70.75,61.02,51,5,1.45,clear sky
597,Pinawa,CA,50.1489,-95.8811,63.52,92,87,7.07,overcast clouds
598,Port Hedland,AU,-20.3167,118.5667,71.65,35,52,10.36,broken clouds
599,Tukrah,LY,32.5341,20.5791,72.09,84,0,12.55,clear sky
600,Clifton,US,40.8584,-74.1638,72.16,84,75,6.91,broken clouds
601,Lichinga,MZ,-13.3128,35.2406,51.89,100,20,8.05,few clouds
602,Pasighat,IN,28.0667,95.3333,74.32,96,100,2.08,overcast clouds
603,Sistranda,NO,63.7256,8.834,51.76,83,69,22.06,light rain
604,Arlit,NE,18.7369,7.3853,95.63,17,78,7.23,broken clouds
605,Aksu,CN,41.1231,80.2644,78.64,24,94,5.37,overcast clouds
606,Ostrovnoy,RU,68.0531,39.5131,52.7,85,100,8.41,overcast clouds
607,Turukhansk,RU,65.8167,87.9833,62.38,79,97,12.57,overcast clouds
608,Tromso,NO,69.6496,18.957,45.37,81,100,8.05,overcast clouds
609,Veraval,IN,20.9,70.3667,82.47,80,64,6.62,broken clouds
610,Pinheiro Machado,BR,-31.5783,-53.3811,39.22,83,0,3.2,clear sky
611,Jardim,BR,-21.4803,-56.1381,50.09,64,0,4.36,clear sky
612,Black Diamond,US,47.3087,-122.0032,57.45,87,100,1.99,light rain
613,Umm Lajj,SA,25.0213,37.2685,83.5,67,0,6.96,clear sky
614,Bowen,AU,-20.0167,148.2333,62.67,52,0,4.85,clear sky
615,Muravlenko,RU,63.7898,74.523,57.63,85,94,11.25,overcast clouds
616,Carroll,US,39.5501,-77.0164,78.12,71,38,1.01,scattered clouds
617,Baisha,CN,26.5222,110.9311,70.77,99,100,2.08,overcast clouds
618,Gunnedah,AU,-30.9833,150.25,47.86,68,3,3.15,clear sky
619,Huoqiu,CN,32.3394,116.2694,75.81,67,100,5.5,overcast clouds
620,Champasak,LA,14.75,106.0,79.68,99,100,1.77,overcast clouds
621,Aban,RU,56.67,96.06,65.57,80,54,4.9,broken clouds
622,Abastumani,GE,41.7075,42.8457,51.62,94,68,2.15,broken clouds
623,Kyaukse,MM,21.6,96.1333,78.8,83,40,9.22,scattered clouds
624,Oussouye,SN,12.485,-16.5469,82.49,82,42,9.44,scattered clouds
625,Verkhnevilyuysk,RU,63.4453,120.3167,54.99,72,78,5.19,broken clouds
626,Iguai,BR,-14.7564,-40.0892,68.97,91,89,3.42,overcast clouds
627,Saint-Leu,RE,-21.15,55.2833,70.32,77,27,8.16,scattered clouds
628,Caluquembe,AO,-13.7833,14.6833,51.96,51,14,1.79,few clouds
629,Matane,CA,48.8286,-67.522,59.02,86,100,6.85,overcast clouds
630,Imbituba,BR,-28.24,-48.6703,55.85,73,1,8.66,clear sky
631,Santa Ines,BR,-3.6667,-45.38,73.74,93,33,2.53,scattered clouds
632,Mitu,CO,1.1983,-70.1733,69.37,98,100,2.33,overcast clouds
633,Husavik,IS,66.0449,-17.3389,42.57,92,100,4.81,overcast clouds
634,Voh,NC,-20.9667,164.7,76.89,74,100,4.63,overcast clouds
635,Port Pirie,AU,-33.1833,138.0167,52.93,67,62,5.53,broken clouds
636,Rio Claro,BR,-22.4114,-47.5614,54.52,46,100,3.36,overcast clouds
637,Newport,GB,51.5877,-2.9984,55.69,84,21,5.57,few clouds
638,Alexandria,EG,31.2156,29.9553,73.36,78,20,10.36,few clouds
639,Payo,ID,-3.7508,103.6372,72.0,97,94,1.79,overcast clouds
640,Eureka,US,40.8021,-124.1637,61.41,75,94,10.0,overcast clouds
641,Liaozhong,CN,41.5061,122.7242,69.33,72,85,14.12,overcast clouds
642,Paramonga,PE,-10.6667,-77.8333,63.84,81,30,10.85,scattered clouds
643,Bogorodskoye,RU,56.55,37.8833,50.79,79,10,5.88,clear sky
644,Bayeux,BR,-7.125,-34.9322,75.83,94,20,5.75,few clouds
645,Kepala Batas,MY,5.5171,100.4265,78.75,94,20,3.44,few clouds
646,Reitz,ZA,-27.8014,28.4273,41.23,48,7,2.77,clear sky
647,Galeana,MX,24.8333,-100.0667,77.94,28,25,12.91,scattered clouds
648,Wanning,CN,18.8003,110.3967,83.39,86,99,12.82,overcast clouds
649,Aleppo,SY,36.25,37.5,67.53,78,0,15.7,clear sky
650,Belmonte,BR,-15.8631,-38.8828,73.81,81,77,5.23,broken clouds
651,Syracuse,IT,37.0881,15.2792,69.39,73,0,9.04,clear sky
652,Okhotsk,RU,59.3833,143.3,44.62,86,100,6.4,overcast clouds
653,Izhma,RU,65.0083,53.9113,43.7,56,6,3.06,clear sky
654,Atakpame,TG,7.5333,1.1333,71.01,94,77,3.85,broken clouds
655,Dong Xoai,VN,11.5333,106.9167,76.96,91,87,2.28,overcast clouds
656,Beira,MZ,-19.8436,34.8389,66.29,100,75,3.44,broken clouds
657,Tezu,IN,27.9167,96.1667,73.49,98,100,2.75,overcast clouds
658,Hidalgo,MX,20.5,-99.0,68.92,55,32,15.64,scattered clouds
659,Elbistan,TR,38.2059,37.1983,60.49,73,82,2.91,broken clouds
660,North Platte,US,41.1239,-100.7654,91.33,44,0,12.66,clear sky
661,Celestun,MX,20.8667,-90.4,81.45,77,65,15.79,broken clouds
662,Scheia,RO,47.65,26.2333,65.59,81,0,11.5,clear sky
663,Xuddur,SO,4.1213,43.8894,71.46,74,98,16.26,overcast clouds
664,Strezhevoy,RU,60.7333,77.5889,56.66,86,11,6.2,few clouds
665,Richards Bay,ZA,-28.783,32.0377,59.34,66,0,8.9,clear sky
666,Drumnadrochit,GB,57.3344,-4.4799,50.63,83,51,7.31,broken clouds
667,Zhoucheng,CN,35.9122,116.3117,79.72,55,0,10.87,clear sky
668,Sakaiminato,JP,35.55,133.2333,69.73,68,75,21.85,broken clouds
669,Troitskoye,RU,52.9821,84.6757,66.61,80,100,5.06,overcast clouds
670,Black River,JM,18.0264,-77.8487,81.54,71,94,12.5,overcast clouds
671,San Luis,AR,-33.295,-66.3356,50.14,51,7,5.21,clear sky
672,Jumla,NP,29.2747,82.1838,59.29,84,83,1.99,broken clouds
673,Benghazi,LY,32.1167,20.0667,73.81,77,0,15.41,clear sky
674,Ta Khmau,KH,11.4833,104.95,78.85,100,40,2.3,scattered clouds
675,Stornoway,GB,58.2093,-6.3865,51.76,80,100,8.05,overcast clouds
676,La Pintada,CO,5.7487,-75.6063,76.33,97,94,1.61,overcast clouds
677,Pamfila,GR,39.1567,26.5217,69.51,88,40,3.44,scattered clouds
678,Bathurst,AU,-33.4166,149.5806,46.83,71,61,1.01,broken clouds
679,Gijon,ES,43.5357,-5.6615,64.0,92,92,10.0,overcast clouds
680,Sikasso,ML,10.9167,-7.0,79.61,74,93,4.03,overcast clouds
681,Anloga,GH,5.7947,0.8973,79.23,77,55,10.54,broken clouds
682,Albertville,US,34.2676,-86.2089,83.73,67,0,3.44,clear sky
683,Bage,BR,-31.3314,-54.1069,46.18,66,0,8.05,clear sky
684,Picota,PE,-6.9197,-76.3304,72.09,74,23,2.93,few clouds
685,Akureyri,IS,65.6835,-18.0878,46.33,87,75,0.0,broken clouds
686,Port Macquarie,AU,-31.4333,152.9167,59.9,55,5,6.78,clear sky
687,Gua Musang,MY,4.8823,101.9644,73.51,98,97,0.43,overcast clouds
688,Dwarka,IN,22.2394,68.9678,84.13,72,33,4.76,scattered clouds
689,Tura,IN,25.5198,90.2201,73.2,98,85,6.93,moderate rain
690,Husainabad,IN,24.5333,84.0167,91.89,31,85,10.38,overcast clouds
691,Pochutla,MX,15.7432,-96.4661,82.22,75,94,3.85,overcast clouds
692,Vuktyl,RU,63.8567,57.3094,44.69,51,0,10.36,clear sky
693,Kaspiyskiy,RU,45.3929,47.3707,70.61,56,98,2.86,overcast clouds
694,Bihoro,JP,43.8228,144.1044,50.68,87,75,1.14,heavy intensity rain
695,Aqtobe,KZ,50.2797,57.2072,46.49,81,0,2.24,clear sky
696,Payakumbuh,ID,-0.2202,100.6308,69.96,96,99,2.57,overcast clouds
