City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
645,Kepala Batas,MY,78.75,few clouds,5.5171,100.4265,OYO 44016 Rafik Ali Motel
647,Galeana,MX,77.94,scattered clouds,24.8333,-100.0667,Mirador
648,Wanning,CN,83.39,overcast clouds,18.8003,110.3967,Paradise Hotel
655,Dong Xoai,VN,76.96,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
661,Celestun,MX,81.45,broken clouds,20.8667,-90.4,Posada Lilia
667,Zhoucheng,CN,79.72,clear sky,35.9122,116.3117,Yingbin Restaurant
670,Black River,JM,81.54,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
674,Ta Khmau,KH,78.85,scattered clouds,11.4833,104.95,Takhmao Good Health Hotel
676,La Pintada,CO,76.33,overcast clouds,5.7487,-75.6063,Hotel Real Dinastía
681,Anloga,GH,79.23,broken clouds,5.7947,0.8973,Pin Drop Hotel
682,Albertville,US,83.73,clear sky,34.2676,-86.2089,Microtel Inn & Suites by Wyndham Albertville
688,Dwarka,IN,84.13,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
691,Pochutla,MX,82.22,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
